source_file,image,verdict,winner,advantage_score,confidence,corrected_verdict,corrected_winner,corrected_advantage,corrected_confidence,weighted_score,random_forest,xgboost,svm,statistical,method_consistency,feature_agreement,prediction_strength,feature_quality
df50_summary,df50,Face 2 (Right) is more authentic,Face 2,0.1676,12.3852,Face 2 (Right) is more authentic,Face 2,0.0274,35.4869,-0.0134,-0.1400,0.0000,0.0483,-0.0624,-0.0627,0.1538,0.0132,0.2000
df34_summary,df34,Face 2 (Right) is more authentic,Face 2,0.1615,12.3533,Face 2 (Right) is more authentic,Face 2,0.0116,36.1242,-0.0222,-0.1400,0.0000,0.0483,-0.0476,-0.0627,0.1538,0.0129,0.2000
df43_summary,df43,Face 1 (Left) is more authentic,Face 1,0.0358,11.7836,Face 1 (Left) is more authentic,Face 1,0.0536,58.6722,0.0823,-0.1400,0.0000,0.0483,0.0452,-0.0709,0.1538,0.0158,0.2000
df23_summary,df23,Face 1 (Left) is more authentic,Face 1,0.0281,11.5635,Face 1 (Left) is more authentic,Face 1,0.2334,57.8087,0.0731,-0.1400,0.0000,0.0483,0.0467,-0.0727,0.1538,0.0154,0.2000
df08_summary,df08,Face 1 (Left) is more authentic,Face 1,0.0024,10.5404,Face 1 (Left) is more authentic,Face 1,0.0493,51.4575,0.0143,-0.1400,0.0000,0.0483,0.0798,-0.1011,0.1731,0.0141,0.2000
df39_summary,df39,Face 2 (Right) is more authentic,Face 2,0.1447,9.3768,Face 2 (Right) is more authentic,Face 2,0.0058,36.8387,-0.0065,-0.1400,0.0000,0.0483,-0.0464,-0.0928,0.1538,0.0121,0.2000
df35_summary,df35,Face 2 (Right) is more authentic,Face 2,0.0106,9.2369,Face 2 (Right) is more authentic,Face 2,0.0015,50.0112,0.0345,-0.1400,0.0000,0.0483,0.0467,-0.0958,0.1538,0.0135,0.2000
df16_summary,df16,Face 2 (Right) is more authentic,Face 2,0.0188,8.5591,Face 2 (Right) is more authentic,Face 2,0.0125,38.7947,0.0264,-0.1400,0.0000,0.0483,0.0465,-0.1038,0.1538,0.0131,0.2000
df09_summary,df09,Face 2 (Right) is more authentic,Face 2,0.0194,8.4949,Face 1 (Left) is more authentic,Face 1,0.0170,41.8495,0.0255,-0.1400,0.0000,0.0483,0.0469,-0.1046,0.1538,0.0130,0.2000
df10_summary,df10,Face 2 (Right) is more authentic,Face 2,0.1232,7.9504,Face 2 (Right) is more authentic,Face 2,0.0622,50.4816,-0.0737,-0.1400,0.0000,0.0483,0.0423,-0.0563,0.0962,0.0152,0.2000
df41_summary,df41,Face 2 (Right) is more authentic,Face 2,0.0349,7.0622,Face 1 (Left) is more authentic,Face 1,0.0148,53.2941,0.0100,-0.1400,0.0000,0.0483,0.0468,-0.1238,0.1538,0.0123,0.2000
df02_summary,df02,Face 2 (Right) is more authentic,Face 2,0.0538,6.5584,Face 1 (Left) is more authentic,Face 1,0.1597,41.6030,0.0984,-0.1400,0.0000,0.0483,-0.0605,-0.0599,0.0769,0.0174,0.2000
df21_summary,df21,Face 2 (Right) is more authentic,Face 2,0.1218,6.5439,Face 1 (Left) is more authentic,Face 1,0.0022,45.3965,-0.0450,-0.1400,0.0000,0.0483,0.0149,-0.0937,0.1154,0.0124,0.2000
df28_summary,df28,Face 2 (Right) is more authentic,Face 2,0.0337,6.1246,Face 1 (Left) is more authentic,Face 1,0.0588,47.7575,0.0429,-0.1400,0.0000,0.0483,0.0152,-0.1199,0.1346,0.0123,0.2000
df25_summary,df25,Face 2 (Right) is more authentic,Face 2,0.0448,6.0947,Face 2 (Right) is more authentic,Face 2,0.0076,50.3930,0.0004,-0.1400,0.0000,0.0483,0.0465,-0.1391,0.1538,0.0118,0.2000
df15_summary,df15,Face 2 (Right) is more authentic,Face 2,0.0585,4.6799,Face 2 (Right) is more authentic,Face 2,0.0329,45.9353,0.0180,-0.1400,0.0000,0.0483,0.0153,-0.1471,0.1346,0.0111,0.2000
df31_summary,df31,Face 2 (Right) is more authentic,Face 2,0.0586,4.6742,Face 1 (Left) is more authentic,Face 1,0.0216,51.1374,0.0175,-0.1400,0.0000,0.0483,0.0157,-0.1472,0.1346,0.0111,0.2000
df29_summary,df29,Face 2 (Right) is more authentic,Face 2,0.0837,4.3556,Face 2 (Right) is more authentic,Face 2,0.0147,41.0687,-0.0205,-0.1400,0.0000,0.0483,0.0286,-0.1169,0.0962,0.0119,0.2000
df30_summary,df30,Face 2 (Right) is more authentic,Face 2,0.0480,4.1332,Face 1 (Left) is more authentic,Face 1,0.0304,48.4612,0.0428,-0.1400,0.0000,0.0483,0.0009,-0.1414,0.1154,0.0116,0.2000
df48_summary,df48,Face 2 (Right) is more authentic,Face 2,0.0755,4.0874,Face 1 (Left) is more authentic,Face 1,0.0726,51.6134,-0.0153,-0.1400,0.0000,0.0483,0.0315,-0.1235,0.0962,0.0118,0.2000
df33_summary,df33,Face 2 (Right) is more authentic,Face 2,0.0565,3.5493,Face 2 (Right) is more authentic,Face 2,0.0064,40.1506,-0.0110,-0.1400,0.0000,0.0483,0.0462,-0.1194,0.0769,0.0123,0.2000
df26_summary,df26,Face 2 (Right) is more authentic,Face 2,0.1041,3.5027,Face 2 (Right) is more authentic,Face 2,0.1122,38.2927,0.0035,-0.1400,0.0000,0.0483,-0.0158,-0.1574,0.1154,0.0104,0.2000
df46_summary,df46,Face 2 (Right) is more authentic,Face 2,0.0680,3.3497,Face 1 (Left) is more authentic,Face 1,0.0264,49.9472,0.0069,-0.1400,0.0000,0.0483,0.0168,-0.1622,0.1154,0.0106,0.2000
df19_summary,df19,Face 2 (Right) is more authentic,Face 2,0.0618,2.9911,Face 2 (Right) is more authentic,Face 2,0.0039,43.8945,-0.0005,-0.1400,0.0000,0.0483,0.0304,-0.1550,0.0962,0.0110,0.2000
df37_summary,df37,Face 2 (Right) is more authentic,Face 2,0.1012,2.8577,Face 1 (Left) is more authentic,Face 1,0.0067,48.4480,-0.0098,-0.1400,0.0000,0.0483,0.0004,-0.1779,0.1154,0.0099,0.2000
df44_summary,df44,Face 2 (Right) is more authentic,Face 2,0.0100,0.2485,Face 2 (Right) is more authentic,Face 2,0.0000,0.0000,0.0000,-0.0100,0.0000,0.0000,0.0000,-0.3000,0.0000,0.0005,0.2000
df49_summary,df49,Face 2 (Right) is more authentic,Face 2,0.0100,0.2485,Face 2 (Right) is more authentic,Face 2,0.0000,0.0000,0.0000,-0.0100,0.0000,0.0000,0.0000,-0.3000,0.0000,0.0005,0.2000
